player_name,team,position,nil_standard_value,source_url,name_key,team_key
Lincoln Kienholz,Louisville,QB,1733222,https://thenilstandard.com/football/players/lincoln-kienholz,lincolnkienholz,louisville
Alonza Barnett III,UCF,QB,1714486,https://thenilstandard.com/football/players/alonza-barnett-iii,alonzabarnett,ucf
Michael Hawkins Jr.,West Virginia,QB,1668007,https://thenilstandard.com/football/players/michael-hawkins-jr,michaelhawkins,westvirginia
Ryan Coleman-Williams,Alabama,WR,1650000,https://thenilstandard.com/football/players/ryan-coleman-williams,ryancolemanwilliams,alabama
Julian Lewis,Colorado,QB,1635000,https://thenilstandard.com/football/players/julian-lewis-colorado,julianlewis,colorado
Bear Bachmeier,BYU,QB,1624005,https://thenilstandard.com/football/players/bear-bachmeier,bearbachmeier,byu
Trevor Goosby,Texas,OT,1612328,https://thenilstandard.com/football/players/trevor-goosby,trevorgoosby,texas
Steve Angeli,Syracuse,QB,1586866,https://thenilstandard.com/football/players/steve-angeli,steveangeli,syracuse
KJ Jackson,Arkansas,QB,1567938,https://thenilstandard.com/football/players/kj-jackson,kjjackson,arkansas
Gio Lopez,Wake Forest,QB,1567500,https://thenilstandard.com/football/players/gio-lopez,giolopez,wakeforest
Alessio Milivojevic,Michigan State,QB,1556390,https://thenilstandard.com/football/players/alessio-milivojevic,alessiomilivojevic,michiganstate
Carter Smith,Indiana,OT,1545325,https://thenilstandard.com/football/players/carter-smith-indiana,cartersmith,indiana
Kenyatta Jackson Jr.,Ohio State,EDGE,1540900,https://thenilstandard.com/football/players/kenyatta-jackson-jr,kenyattajackson,ohiostate
Evan Stewart,Oregon,WR,1540000,https://thenilstandard.com/football/players/evan-stewart,evanstewart,oregon
Keisean Henderson,Houston,QB,1536000,https://thenilstandard.com/football/players/keisean-henderson,keiseanhenderson,houston
Aaron Philo,Florida,QB,1506334,https://thenilstandard.com/football/players/aaron-philo,aaronphilo,florida
Ethan Grunkemeyer,Virginia Tech,QB,1505416,https://thenilstandard.com/football/players/ethan-grunkemeyer,ethangrunkemeyer,virginiatech
Howard Sampson,Texas Tech,OT,1500000,https://thenilstandard.com/football/players/howard-sampson,howardsampson,texastech
Kamario Taylor,Mississippi State,QB,1500000,https://thenilstandard.com/football/players/kamario-taylor,kamariotaylor,mississippistate
Cayden Green,Missouri,OT,1500000,https://thenilstandard.com/football/players/cayden-green,caydengreen,missouri
Maalik Murphy,Oregon State,QB,1500000,https://thenilstandard.com/football/players/maalik-murphy,maalikmurphy,oregonstate
Noah Fifita,Arizona,QB,1500000,https://thenilstandard.com/football/players/noah-fifita,noahfifita,arizona
Boubacar Traore,Notre Dame,EDGE,1500000,https://thenilstandard.com/football/players/boubacar-traore,boubacartraore,notredame
